id_production_companies,name_production_companies
11006,Aldamisa Entertainment
23531,Columbia Films
22622,Consejo Nacional Para La Cultura Y Las Artes (Conaculta)
23871,Parma Films
15024,Rich-Heape Films
7899,Cartoon Network Studios
1309,Rainforest Films
17027,National Film Board Of Canada (Nfb)
496,David Foster Productions
3337,Empyreal Entertainment
5521,Cp Medien Ag
45959,Boondock Films
893,Stanley Kramer Productions
16126,David Gerber Productions
12096,Mandarin Films
2130,Mr. Mudd Production
2921,Visualizer Film Productions
40799,Sodium Fox
3032,Nippon Shuppan Hanbai (Nippan) K.K.
17067,Cinetel Pictures
3476,Walt Disney Animation Australia
9078,Constantin Film.
1139,Heron Film Productions
87210,Channel A
3287,Screen Gems
16466,Producers Releasing Corporation (Prc)
40666,Pixl Entertainment
23703,Arc Entertainment
88981,Seaside Entertainment
528,Bandai Visual Company
17178,Filmgalerie 451
73538,Revision Pictures
5410,Maxim Productions
3132,Vlaams Audiovisueel Fonds
8386,Japan Sky Way
14718,Radar Pictures
11575,Movie Central
3877,Morbid Mind Productions
4112,American Cinema Productions
28995,Earthship Productions
28762,Mokép
11346,Motion Picture Theta Produktionsgesellschaft
89951,Principal Productions Inc.
506,Newmarket Capital Group
653,Komuna
1099,Ajym-Films
3314,Crescendo Productions
18519,Acajou Films
30290,Adolfo Aristarain
5043,Film Art Association
1374,Cinemar
2683,Rai Cinema
62948,Horror Inc.
23108,Caramel Film
17388,July August Productions
44884,Glacier Films
17407,Reynard
51566,Kgb Media
29051,Lotterywest
10096,Walter Wanger Productions
11749,Twentieth Century Fox Animation
357,Vía Digital
26890,Douri Films
51098,Little Wing Productions
14908,Curtleigh Productions
3029,China Star Entertainment
26261,Film Commission Torino-Piemonte
20492,Fox International Productions (Fip)
7773,Cameo Fj Entertainment
729,Why Not Productions
1704,Bavaria Film
7673,Hérodiade
63197,A Atalanta
5820,Generator Entertainment
31145,Skipping Stone Entertainment
22864,Flatbush Pictures
2995,Atmosphere Entertainment Mm
5072,Twins Japan
19649,Key Pix Productions
39515,Vlaams Audiovisueel Fonds
5155,Psc
16192,Hera Productions
376,Industry Entertainment
65906,End Cue
62702,Whyaduck Productions
2320,Utv Motion Pictures
3553,Euforia Film
1131,Rizzoli Films
5231,Cineplex-Odeon Films
26137,Dog Eat Dog Films
82915,Golden Circle Productions
14154,Essex Productions
3438,Melee Entertainment
7786,Filmworks
25299,Era International Ltd
33199,Bahr Productions Inc.
8000,Broken Road Productions
13921,Launchpad Productions
21246,Wildside
29223,Ministero Per I Beni E Le Attività Culturali (Mibac)
3167,World Film Services
20777,British Screen Productions
868,Cinema Service
1243,Arena Films
17209,Vice Films
7083,Kafa Films
11870,Anurag Kashyap Films
29177,Beyond C.
158,Spyglass Entertainment
1799,Breton Film Productions
74328,Diversa Audiovisual
10156,Affirm Films
3468,Hal Wallis Productions
879,Out Of The Blue... Entertainment
6802,Dundee Entertainment
86871,Frozen Assets Productions
1074,Cofimage 9
7730,Scotia International
10166,Alliance Entertainment
8476,Lakeside Productions
5421,Redwood Productions
4868,Asahi Broadcasting
75507,Peter Hutton
10523,Mondial Televisione Film
14087,Ursus Films
4035,Skyline Film & Television
55737,The Culling Productions
318,Ctb Film Company
864,No Dream Cinema
2401,Drew Associates
82945,Kunhardt Productions
21122,Snowpiercer
21084,Image Organization
3978,Robert Stigwood Organization (Rso)
26001,Four Productions
23404,Industryworks Distribution
11382,The Archers
1474,Desperate Pictures
11246,Région Ile-De-France
28361,Bsm Studio
14966,Channel 4
21242,Never Been Kissed Productions
130,Jerry Bruckheimer Films
11462,Alphaville Films
16736,Sequoin Films
36821,Usa Cable Network
11628,Tequila Gang
10253,Samuel Bronston Productions
21515,Compagnie Cinématographique
1444,Cannon Group
73131,Kinetic Filmworks
4814,Munidal Film
1974,Duplass Brothers Productions
71222,Ibéria Films
41564,Stonehenge Productions
22677,Bungakuza
7076,Chernin Entertainment
12563,Rogosin Films
53009,Miramax
12252,Chartoff-Winkler Productions
7538,Brux International Pictures
1787,Central Cinema Company Film
82020,Final Frame
3036,Walt Disney Studios Motion Pictures
64027,Werkaround
18990,Radiant Productions
54780,Chinguitty Productions
4106,Libra Pictures
4552,Filmfabriken Baltic Sea Ab
43535,Plum Films
637,The Picture Factory
1407,Paramount-Orion Filmproduktion
1030,Magnolia Pictures
10562,Mancori
4207,Sahamongkolfilm Co.
7396,Pathe
3902,Cbs Entertainment Productions
7508,Produzioni Europee Associati (Pea)
57043,Bud Yorkin Productions
55353,Indira Productions
93188,Condor Filmes
2105,Thura Film
16968,Vera Films S.P.A.
35143,La-La Land Films
1296,Crossbow Productions
3268,Home Box Office (Hbo)
10355,Spelling Films
24049,Sierra / Affinity
15132,Dudez Productions
20221,Quatre Par Quatre Films
1172,Hyde Park Films
157,Svt Drama
9329,The Vitaphone Corporation
11199,Scope Pictures
40230,Forastero
19636,Thirteen Productions
3857,Fireworks Pictures
86787,Jack Haley Jr. Productions
5078,Danziger Productions Ltd.
23449,American Empirical Pictures
12867,Renato Aragão Produções Cinematográficas
3975,Wolfkill
5583,Mungo Productions
4606,Zweites Deutsches Fernsehen (Zdf)
1178,Pathé Pictures International
30647,Melson Productions
5125,Le Pacte
1679,Lux Film
21942,Harrington Thomas Productions
477,Hughes Entertainment
11266,Lieutenant Productions
1804,North By Northwest Entertainment
2017,Film Roman Productions
3458,Clover Productions
9210,Film Four International
792,Radio Télévision Belge Francophone
11237,Zdf/Arte
89304,Peter V. Miller Investment Corp.
54781,Goi-Goi Productions
284,Dna Films
10969,Sepia Films
22135,Prana Animation Studios
24277,Palmstar Entertainment
31375,Evergreen Media Group
16947,Koda Entertainment
5842,Sandollar Productions
5092,Chum City
13999,Avon Productions (Ii)
11470,Lähikuva Oy
26590,Backup Media
25263,Throttle Films
3054,Golden Way Films Ltd.
15980,Incorporated Television Company (Itc)
7306,"Match Factory, The"
1442,Cosmopolitan Productions
6370,Quinta Communications
9222,Excellent Film
55530,Film Limited Partnership
23050,Tvp Film & Multimedia
1009,Crown International Pictures
27717,Ahiru To Kamo No Koin Rokkâ Seisaku Iinkai
932,Mirage Enterprises
888,Overseas Filmgroup
429,Dc Comics
48510,Zyzak Film Company
16280,Jean Doumanian Productions
45842,Antiteater-Produktion
10942,Fábulas Negras
975,Gerber Pictures
788,Bel Air Entertainment
16804,France 3 Cinema
12800,Ego Film Arts
15343,Trans Atlantic Entertainment
23126,Starling Films
9228,Dan Curtis Productions
3527,Green Hat Films
8830,Touchwood Pacific Partners 1
10907,Les Productions Georges De Beauregard
32208,Imp.Ex.Ci.
88044,Filmfinance Xii
7506,Graphic Films
22745,Jerry Lewis Enterprises
14550,Productions Sigma
7281,British Film Institute (Bfi)
46281,Biberche
36390,3 Arts Entertainment
32242,Grisbi Productions
92312,Jack Wiener Production
15433,Orange Studios
71237,Downtown Pictures
22797,Konami Digital Entertainment
8109,Zentropa
57503,Nishimura Motion Picture Model Makers Group
2990,Departure Studios
3742,900 Films
11921,Le Tax Shelter Du Gouvernement Fédéral De Belgique
3879,Front Street Studios
9,Gaumont
2075,Mmg Film & Tv Production
26646,Edgewood Entertainment
12451,Mediaworks
2596,Jerry Weintraub Productions
18828,Das Kollektiv Für Audiovisuelle Werke
22507,Extravaganza Entertainment
770,Kingsgate Films
2265,Shangri-La Entertainment
347,Centropolis Entertainment
87850,Mff (Sound Of Thunder)
15011,Go Paterson Films Pty Ltd
6191,Falcon
21193,Lifeboat News
4104,Porkkana Ryhmä
11407,Baltimore Pictures
13246,Gendai Eigasha
53622,Red Wire Blue Wire
3539,Odyssey Entertainment
2765,Blurco
16791,Newman/Tooley Films
7493,Filmnation Entertainment
8683,Cinemate
5061,Children'S Television Workshop
53573,Rotor Film Babelsberg
12184,Talent Aid International
2532,Batjac Productions
6181,Svensk Filmindustri (Sf)
49822,Grain Media
22506,Most Films
83036,Joint Effort
3271,Inscription Films
785,Sociedad General De Cine S.A.
12671,Chiller Films
53042,Woss Group Film Productions
964,Keith Barish Productions
5982,Bioskop Film
18230,Filmgate Films
19788,Regal Films
30792,Remochoso
21194,Moonfire Studio
9251,International Harmony
67523,Sholay Media & Entertainment
2833,Independent Pictures (Ii)
1280,Pacific Western
